data,ipca_pct,us_cpi_lag2,us_cpi_lag3,usd_brl_lag4
2003-02-01,1.57,-0.22062879205736463,0.0,-6.41608256951397
2003-03-01,1.23,0.44223327805417156,-0.22062879205736463,-0.23319615912208436
2003-04-01,0.97,0.7705008255366019,0.44223327805417156,-2.83789357899078
2003-05-01,0.61,0.6007646095030017,0.7705008255366019,-0.212266153454288
2003-06-01,-0.15,-0.21715526601518986,0.6007646095030017,1.060752169720347
2003-07-01,0.2,-0.16322089227421843,-0.21715526601518986,-5.8963852716659275
2003-08-01,0.34,0.10899182561308063,-0.16322089227421843,-13.817064805702184
2003-09-01,0.78,0.10887316276537717,0.10899182561308063,2.623018894041107
2003-10-01,0.29,0.38064165307232223,0.10887316276537717,-3.156190990018881
2003-11-01,0.34,0.3250270855904569,0.38064165307232223,3.2555710306406693
2003-12-01,0.52,-0.10799136069113979,0.3250270855904569,0.03372112628561297
2004-01-01,0.76,-0.2702702702702675,-0.10799136069113979,-1.452890611832125
2004-02-01,0.61,-0.10840108401083404,-0.2702702702702675,-2.2986933023192213
2004-03-01,0.47,0.48833423765597406,-0.10840108401083404,3.263076815349053
2004-04-01,0.37,0.5399568034557323,0.48833423765597406,-2.04109310368209
2004-05-01,0.51,0.6444683136412444,0.5399568034557323,1.7894226775577948
2004-06-01,0.71,0.32017075773744796,0.6444683136412444,-0.9214866197422511
2004-07-01,0.91,0.5851063829787284,0.32017075773744796,-0.17846111606837356
2004-08-01,0.69,0.3172924378635589,0.5851063829787284,1.2411469435467337
2004-09-01,0.33,-0.1581444385872377,0.3172924378635589,6.262098006588102
2004-10-01,0.44,0.052798310454060804,-0.1581444385872377,-0.6902943338340184
2004-11-01,0.69,0.21108179419524475,0.052798310454060804,-2.5969428801287164
2004-12-01,0.86,0.526592943654558,0.21108179419524475,-3.0725518699616705
2005-01-01,0.58,0.05238344683080598,0.526592943654558,-2.5632285772718033
2005-02-01,0.59,-0.3664921465968529,0.05238344683080598,-0.0734625341076045
2005-03-01,0.61,0.21019442984759884,-0.3664921465968529,-4.403990897952037
2005-04-01,0.87,0.5768222338752071,0.21019442984759884,-2.7941553447834
2005-05-01,0.49,0.7820646506777829,0.5768222338752071,-1.1151295961422503
2005-06-01,-0.02,0.6725297465079993,0.7820646506777829,-1.1353245961597036
2005-07-01,0.25,-0.10277492291880241,0.6725297465079993,2.743737957610781
2005-08-01,0.17,0.051440329218110925,-0.10277492291880241,-5.059635436201337
2005-09-01,0.35,0.46272493573265017,0.051440329218110925,-5.036937541974473
2005-10-01,0.75,0.5117707267144223,0.46272493573265017,-2.221482652466922
2005-11-01,0.55,1.2219959266802416,0.5117707267144223,1.7060925799863735
2005-12-01,0.36,0.2012072434607548,1.2219959266802416,-1.1211043714703939
2006-01-01,0.59,-0.8032128514056214,0.2012072434607548,-5.9863772898422045
2006-02-01,0.41,-0.4048582995951344,-0.8032128514056214,1.4445144451444625
